FIPS,State,County,UnempRate2019,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1019,PctEmpChange1819,PctEmpChange0719,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,UnempRate2011,NumCivLaborForce2011,NumEmployed2011,NumCivLaborForce2012,NumUnemployed2010,NumCivLaborForce2008,NumUnemployed2011,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,UnempRate2008,UnempRate2012,NumEmployed2008,UnempRate2009,NumUnemployed2008,NumUnemployed2015,NumUnemployed2019,NumCivLaborforce2019,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,NumUnemployed2017,NumEmployed2017,NumCivLaborforce2017,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2013,NumEmployed2015,NumEmployed2012,NumUnemployed2014,NumEmployed2014,NumCivLaborforce2014,UnempRate2013,NumUnemployed2013,NumEmployed2019,NumEmployed2013,NumUnemployed2007,NumEmployed2007,NumCivLaborforce2007,NumUnemployed2012,NumCivLaborforce2015
01017,AL,Chambers,2.90,3.80,4.10,5.40,6.00,6.70,14.90,6.50,21.76,3.46,5.65,-13.24,1.386446639,0.148789395,4.511023942,28.7772217,12.78912485,3.584471798,1.88692006,3.631813878,39.26011092,4.024076829,14786,12.00,15200,13380,15140,2200,15012,1820,12554,14754,2873,11777,14650,14.40,9.90,12848,19.60,2164,905,462.00,15748,591,14775,15366,621,14639,15260,818,14225,15043,15275,14097,13646,1026,14276,15302,8.00,1217,15286,14058,1005,14469,15474,1494,15002
01019,AL,Cherokee,2.90,3.50,4.10,5.00,5.40,5.80,10.60,4.20,9.97,-0.09,-1.90,-10.79,3.335033146,0,7.261601224,26.27231005,11.91228965,7.383987761,1.03008669,1.835798062,34.80877104,6.160122387,9805,9.70,11476,10364,11268,1219,11996,1112,10245,11464,1374,10384,11758,5.70,8.00,11308,11.70,688,609,338.00,11604,412,11276,11688,463,10922,11385,574,10808,11382,11403,10570,10363,661,10725,11386,6.60,754,11266,10649,500,11484,11984,905,11179
01021,AL,Chilton,2.70,3.60,4.10,5.50,5.60,6.30,10.30,3.40,10.40,1.88,1.12,-8.41,1.822857143,0.88,15.44,13.90285714,15.97142857,6.468571429,0.708571429,5.662857143,34.21714286,4.925714286,17500,9.10,19539,17753,19383,1998,19610,1786,17464,19462,2070,17375,19445,5.10,7.20,18618,10.60,992,1081,538.00,19818,700,18924,19624,786,18547,19333,1053,18213,19266,19359,18090,17982,1197,17899,19096,6.60,1269,19280,18090,670,19067,19737,1401,19171
01023,AL,Choctaw,4.70,5.40,6.30,8.50,9.10,9.00,13.30,5.90,5.60,-0.91,-8.68,-13.52,8.630393996,3.306754221,7.082551595,17.07317073,15.71294559,4.620075047,1.313320826,2.204502814,35.83489681,4.221388368,4264,13.10,4764,4138,4791,644,5069,626,4216,4860,692,4442,5134,8.30,10.30,4646,13.50,423,398,218.00,4670,256,4493,4749,279,4145,4424,368,3976,4344,4703,3988,4297,405,4089,4494,9.20,433,4452,4270,308,4875,5183,494,4386
01025,AL,Clarke,5.80,7.40,8.50,10.80,11.70,12.20,19.90,6.10,-2.45,0.35,-26.81,-24.97,3.975415196,0.549234994,7.676212894,24.02249248,13.84856807,6.473126716,0.876160586,4.13233948,34.57565058,3.870799006,7647,18.80,8843,7181,8374,1808,10351,1662,7300,9108,1717,8664,10381,9.00,15.00,9419,16.50,932,938,436.00,7557,563,7096,7659,658,7107,7765,864,7121,7985,8285,7068,7116,993,7162,8155,13.80,1140,7121,7145,628,9730,10358,1258,8006
01027,AL,Clay,3.00,3.80,4.30,5.90,6.10,7.10,14.50,5.50,18.24,2.32,2.48,-13.33,3.446409239,0.144352219,4.691447131,32.91230603,12.79321545,4.853843378,1.461566222,3.08552869,32.24467701,4.366654637,5542,11.80,5598,4935,5413,846,5733,663,5005,5851,940,4703,5643,7.90,9.40,5279,16.70,454,340,183.00,6101,226,5784,6010,252,5567,5819,334,5314,5648,5393,5219,4905,394,5117,5511,8.30,450,5918,4943,338,5775,6113,508,5559
01029,AL,Cleburne,3.20,4.20,4.50,6.00,6.00,6.60,10.00,3.70,3.57,1.28,-9.97,-13.08,4.726368159,0.017768301,12.57995736,19.36744847,15.68941009,6.467661692,0.319829424,2.825159915,32.37384506,5.632551528,5628,9.70,5939,5365,5838,604,6557,574,5429,6033,663,5851,6514,5.10,8.20,6225,10.20,332,342,183.00,5806,243,5552,5795,258,5489,5747,346,5464,5810,5830,5346,5358,386,5467,5853,7.70,447,5623,5383,237,6246,6483,480,5688
01031,AL,Coffee,2.90,3.90,4.40,5.80,6.00,6.60,8.60,3.80,7.83,2.90,2.49,-4.95,3.222094361,0.455696203,5.721518987,11.59493671,13.12313003,8.313003452,1.201380898,3.963176064,42.46260069,9.942462601,21725,8.10,20749,19059,20612,1817,20911,1690,19271,21088,1824,19612,21436,4.80,7.00,19897,8.50,1014,1209,623.00,21402,814,20193,21007,920,20049,20969,1210,19474,20684,20516,19100,19159,1344,18884,20228,6.90,1411,20779,19105,802,20275,21077,1453,20309
01033,AL,Colbert,3.70,4.50,5.20,6.90,7.90,8.30,11.50,4.60,6.10,1.26,-6.01,-11.41,1.002852558,0.111428062,7.871278303,19.43305402,15.15867356,5.838830451,1.20342307,4.907291852,40.48850062,3.984667499,22436,10.20,24386,21905,24026,2775,25160,2481,21453,24228,2953,22461,25414,6.50,8.80,23523,11.60,1637,1871,885.00,23646,1063,22478,23541,1213,22130,23343,1630,21918,23548,23896,21776,21922,1993,22034,24027,8.20,1959,22761,21937,1170,24216,25386,2104,23647
01035,AL,Conecuh,4.00,5.10,6.10,8.40,9.20,10.30,17.20,6.40,5.37,1.68,-6.31,-11.08,5.652620761,1.490236382,5.62692703,17.31757451,18.83350462,8.119218911,2.80061665,4.727646454,28.10894142,7.322713258,3892,15.20,4785,4057,4635,860,4878,728,4131,4991,978,3930,4908,9.40,11.90,4421,19.90,457,432,180.00,4533,231,4281,4512,275,4230,4505,383,4184,4567,4695,4258,4082,487,4229,4716,10.70,504,4353,4191,319,4646,4965,553,4690
01037,AL,Coosa,3.00,4.10,4.70,6.00,6.70,8.80,15.40,5.80,12.12,3.96,-0.02,-10.83,0.559610706,0.729927007,8.710462287,20.1703163,11.09489051,10.72992701,1.167883212,4.817518248,37.51824818,4.501216545,4110,12.50,4477,3918,4445,717,4659,559,3937,4654,737,3856,4593,8.30,9.40,4274,16.00,385,296,135.00,4549,180,4246,4426,205,4191,4396,262,4137,4399,4452,4138,4029,393,4074,4467,9.20,408,4414,4044,271,4415,4686,416,4434
01039,AL,Covington,3.40,4.50,5.20,6.70,7.10,7.80,10.30,3.90,2.70,1.16,-7.86,-10.29,3.530438284,2.912947178,6.946774951,14.24256662,14.29626149,9.80602725,0.624202967,3.456607826,38.39855024,5.785623196,14899,9.80,16367,14764,16345,1696,16800,1603,14721,16417,1807,14912,16719,5.90,8.40,15803,10.80,997,1105,534.00,15653,707,14945,15652,821,14958,15779,1047,14509,15556,16066,14382,14978,1237,14674,15911,8.10,1298,15119,14768,661,16409,17070,1367,15487
01041,AL,Crenshaw,2.80,4.00,4.50,5.80,6.00,6.90,10.20,4.30,11.46,2.93,0.46,-9.87,4.953670706,0.534568781,6.895937277,17.64076978,14.68282252,5.702066999,2.156094084,4.187455453,35.72701354,7.519600855,5612,9.90,6432,5798,6251,639,6464,634,5646,6285,671,5768,6439,5.60,8.30,6105,10.40,359,381,183.00,6476,255,6114,6369,291,6138,6429,379,6101,6480,6311,5986,5732,436,5862,6298,7.70,483,6293,5828,282,6264,6546,519,6367
01043,AL,Cullman,2.60,3.20,3.70,5.00,5.30,6.10,10.40,3.40,16.91,2.09,-1.05,-15.36,2.142229494,0.269672454,10.09605187,17.18025634,16.99239463,5.769172499,0.957488713,3.896615459,39.42065873,3.275459807,33003,9.50,35669,32279,35568,3757,39096,3390,32202,35959,3952,34585,38537,4.90,7.70,37188,10.30,1908,1915,998.00,38646,1234,36879,38113,1420,36556,37976,1885,36179,38064,35783,34541,32835,2181,33738,35919,6.70,2381,37648,33402,1320,38047,39367,2733,36456
01045,AL,Dale,3.10,4.10,4.50,5.80,6.40,7.10,8.80,4.00,-0.21,3.39,3.25,3.47,1.531206657,0.549237171,5.686546463,11.50624133,18.83495146,10.20249653,0.760055479,3.47850208,38.84049931,8.610263523,18025,8.30,22017,20188,21370,1948,19832,1829,20124,22072,1933,18100,20033,5.40,7.40,18760,9.60,1072,1263,642.00,20724,833,19424,20257,894,19120,20014,1155,18888,20043,20750,18612,19781,1438,18878,20316,7.40,1530,20082,19220,800,19450,20250,1589,19875
01047,AL,Dallas,5.50,6.40,7.50,9.20,9.60,11.20,16.90,8.30,-6.09,-0.17,-2.49,3.84,1.580972368,0.300804477,5.155648828,26.14900315,11.85029731,4.777894369,0.61559986,3.434767401,39.86009094,6.274921301,14295,15.10,17514,14866,16746,3002,15473,2648,14806,17808,3352,12516,15868,11.10,12.90,13758,21.10,1715,1495,807.00,14711,953,13927,14880,1128,13956,15084,1421,14059,15480,16293,14122,14583,1799,14204,16003,12.20,1992,13904,14301,1296,14259,15555,2163,15617
01049,AL,DeKalb,2.80,3.80,4.50,6.00,6.10,6.90,12.70,4.30,11.68,3.53,1.66,-8.97,2.887872333,0.052379788,7.525229598,28.43524112,14.31015819,6.372874254,0.883472431,3.81674058,31.9796068,3.736424905,28637,11.80,29809,26279,28833,3916,30682,3530,27026,30942,4265,25647,29912,5.80,9.00,28895,14.30,1787,1746,870.00,31052,1136,29153,30289,1331,28357,29688,1773,27582,29355,29033,27076,26224,1989,26954,28943,7.60,2210,30182,26823,1324,29689,31013,2609,28822
01051,AL,Elmore,2.60,3.40,3.70,4.70,5.00,5.70,9.10,3.30,9.66,0.75,5.68,-3.63,1.159385999,0.295761734,8.11570199,11.493301,14.28824939,4.702611576,1.32501257,5.829463784,41.13749963,11.65301233,33811,8.40,36597,33521,36629,3321,36220,3076,33362,36683,3448,32944,36392,5.10,6.90,34371,9.50,1849,1847,979.00,37565,1277,36313,37590,1376,35990,37366,1771,35613,37384,36930,34967,34087,2088,34455,36543,6.20,2272,36586,34658,1185,34620,35805,2542,36814
01053,AL,Escambia,3.50,4.50,5.00,6.60,7.00,8.00,11.80,5.30,7.63,3.40,5.31,-2.16,1.567887046,0.763421441,7.584961418,17.67361681,13.40502381,6.296174684,0.968642259,3.423083238,38.6553932,9.661796093,12182,10.80,14978,13355,14732,1769,14412,1623,13238,15007,1992,12770,14762,7.60,9.20,13321,13.50,1091,1026,514.00,14762,643,13780,14423,722,13779,14501,967,13646,14613,14292,13598,13374,1150,13215,14365,8.60,1227,14248,13065,758,13530,14288,1358,14624
01055,AL,Etowah,3.30,4.00,4.60,5.90,6.20,7.00,10.90,4.50,5.36,-0.50,-4.92,-9.76,0.535794368,0.167583261,6.089645243,18.97703401,14.42396205,4.62860245,1.907144712,3.937026459,44.14284703,5.190360422,42367,10.00,44722,40238,44232,4807,45727,4484,39193,44000,5155,39838,44993,6.00,8.20,42995,11.50,2732,2641,1428.00,42723,1750,41502,43252,1982,41251,43233,2559,40892,43451,43862,40126,40589,3080,40639,43719,7.60,3324,41295,40538,2028,43431,45459,3643,42767
01057,AL,Fayette,3.10,4.00,4.70,6.70,7.00,7.80,13.00,4.70,7.24,1.68,-9.48,-15.58,2.429467085,1.520376176,4.655172414,23.49529781,15.29780564,7.36677116,1.692789969,3.197492163,36.99059561,3.354231975,6380,11.10,6632,5896,6503,889,7118,736,5942,6831,978,5993,6971,7.20,8.60,6604,14.00,514,451,207.00,6579,262,6267,6529,310,6269,6579,445,6178,6623,6406,5983,5943,498,5851,6349,8.30,531,6372,5875,348,7039,7387,560,6434
01059,AL,Franklin,2.80,3.70,4.30,5.90,6.40,7.70,10.70,4.60,12.32,3.80,9.03,-2.93,1.891197759,0.116740602,9.946299323,29.40306639,11.48727527,4.43614289,2.739512803,3.618958674,33.14654837,3.214257919,12849,9.60,14362,12986,13976,1531,13380,1376,12724,14255,1777,11463,13240,7.40,8.40,12387,13.40,993,880,405.00,14696,523,13768,14291,599,13430,14029,816,13108,13924,13678,12807,12806,1061,12653,13714,8.00,1100,14291,12578,634,13108,13742,1170,13687
01061,AL,Geneva,2.90,3.90,4.30,5.80,5.90,6.70,10.40,3.50,3.50,2.63,-3.70,-6.96,4.767592316,0.806210809,9.196775157,15.05922166,15.85547925,7.285756942,0.587239972,2.657509704,37.38429382,6.399920374,10047,9.20,11486,10429,11274,1197,11337,1057,10362,11559,1203,9970,11173,5.50,7.60,10717,10.80,620,639,320.00,11045,422,10450,10872,470,10356,10826,627,10226,10853,11044,10168,10421,722,10071,10793,7.00,768,10725,10276,398,11137,11535,853,10807
01063,AL,Greene,5.60,6.60,7.50,9.90,11.10,12.50,17.30,6.40,-0.48,1.87,-11.48,-11.06,2.404718693,0,5.716878403,26.54264973,8.802177858,2.087114338,0.998185118,6.079854809,37.79491833,9.573502722,2204,17.30,3226,2668,3125,571,3280,558,2735,3306,478,2653,3131,8.50,13.60,3001,15.30,279,319,161.00,2883,188,2672,2860,216,2645,2861,286,2598,2884,2997,2564,2701,372,2613,2985,12.80,383,2722,2614,209,3075,3284,424,2883
01065,AL,Hale,3.90,5.00,5.90,7.60,7.80,9.90,15.10,5.40,7.40,3.49,-10.97,-17.10,4.800314775,0.236081054,6.295494787,20.04721621,12.61066299,3.757623451,0,3.777296872,45.52429668,2.951013181,5083,13.80,6296,5426,6212,972,6991,870,5473,6445,979,5890,6869,7.40,11.50,6473,14.30,518,470,241.00,6119,299,5680,5979,354,5614,5968,458,5548,6006,6208,5588,5499,596,5436,6032,11.60,722,5878,5486,374,6602,6976,713,6058
01067,AL,Henry,3.60,4.40,4.90,6.50,6.80,7.50,10.90,5.40,3.52,2.54,-6.14,-9.33,4.222481072,0.189283634,3.465346535,11.34245778,16.23471171,11.67734421,1.237623762,3.29062318,46.19976704,2.140361095,6868,9.70,7270,6563,7030,790,7376,707,6469,7259,798,6334,7132,7.70,8.30,6807,11.20,569,457,247.00,6944,299,6531,6830,328,6411,6739,438,6311,6749,6954,6272,6447,508,6267,6775,7.70,533,6697,6421,405,7135,7540,583,6729
01069,AL,Houston,3.00,4.00,4.40,5.80,6.20,6.80,9.10,3.30,6.34,2.47,-1.67,-7.54,1.481113545,0.051929286,5.75511955,9.593371114,18.12332076,7.841322165,1.433699849,4.19949877,46.81989569,4.700729268,44291,8.60,46778,42747,46054,4244,46452,4031,42170,46414,4265,41638,45903,4.90,7.50,44180,9.30,2272,2777,1390.00,46234,1816,43764,45580,1959,42923,44882,2579,42156,44735,45711,41850,42578,3062,42080,45142,6.90,3158,44844,42553,1572,45607,47179,3476,44627
01071,AL,Jackson,3.30,4.00,4.80,6.30,6.60,7.30,11.80,4.50,5.79,1.09,-11.97,-16.79,1.40175343,0.29719154,7.196988459,27.56946852,14.1463173,5.304868988,0.762791619,4.215166675,36.16821041,2.937243053,20189,10.30,24163,21682,23731,2880,26857,2481,21468,24348,3365,23005,26370,6.20,8.60,25201,12.80,1656,1562,772.00,23484,944,22468,23412,1110,22088,23198,1488,22193,23681,23687,21944,21695,1703,21743,23446,7.90,1865,22712,21822,1221,25799,27020,2036,23506
01073,AL,Jefferson,2.90,3.70,4.30,5.70,5.80,6.30,10.30,3.90,8.42,1.78,2.33,-5.61,0.186160012,0.531696801,5.209504411,9.094396022,13.75831603,5.527596651,2.197217189,8.559392649,50.89541974,4.040300501,302428,9.30,319652,289916,316511,32893,311615,29736,285627,318520,33007,274011,307018,5.40,7.40,294792,10.80,16823,17937,9091.00,318755,11545,304248,315793,13254,298227,311481,17848,294630,312478,315405,293544,293020,19626,292505,312131,6.70,20979,309664,294426,12136,302603,314739,23491,311481
01075,AL,Lamar,3.10,3.70,4.20,5.60,6.30,7.00,13.20,6.30,12.61,2.57,3.32,-8.25,2.45410266,0.899213188,8.467590858,22.9112027,10.60322218,6.669164481,1.236418134,3.9340577,36.00599475,6.819033346,5338,9.70,5826,5260,5806,767,5692,566,5035,5802,888,4658,5546,8.00,7.50,5237,16.00,455,355,179.00,5849,215,5528,5743,241,5523,5764,321,5392,5713,5802,5271,5369,393,5232,5625,7.00,408,5670,5394,366,5488,5854,437,5626
01077,AL,Lauderdale,3.30,4.10,4.60,6.30,6.90,7.20,10.10,4.30,5.02,1.27,-0.55,-5.31,0.92449539,0.047346125,7.104410665,13.64814353,16.38674308,6.307002243,1.295788687,4.054323449,46.2222776,4.009469225,40130,9.10,44048,40026,43409,4403,42873,4022,39193,43596,4628,38804,43432,5.70,7.70,40408,10.70,2465,2959,1388.00,42548,1746,40644,42390,1957,40261,42218,2705,39998,42703,43150,39766,40084,3128,40346,43474,7.10,3067,41160,40083,1868,41389,43257,3325,42725
01079,AL,Lawrence,3.10,4.10,4.90,6.90,7.70,8.20,12.60,4.10,6.41,2.90,-8.58,-14.09,2.418841502,0.326225334,8.93539147,24.14067473,12.26129854,7.574793125,1.185550605,3.691915977,35.38351369,4.081795035,12568,10.90,14788,13177,14391,1877,15867,1611,13024,14901,2153,13635,15788,6.50,9.00,14837,13.60,1030,1057,447.00,14306,575,13469,14044,675,13015,13690,947,12828,13775,14282,12641,13094,1153,12868,14021,8.30,1189,13859,13093,647,15160,15807,1297,13698
01081,AL,Lee,2.70,3.60,4.00,5.20,5.20,5.60,9.00,3.60,22.62,2.70,18.35,-3.48,0.479741214,0.145293053,5.21410165,13.63835737,12.90229728,4.380722627,1.47623225,6.546411536,51.61055979,3.606283239,72956,8.10,68316,62812,68918,6006,65189,5504,60758,66764,6106,58787,64893,5.20,6.80,61795,9.40,3394,3722,2080.00,76580,2702,72541,75243,2926,70836,73762,3786,68867,72653,70523,67274,64247,3988,67358,71346,5.90,4144,74500,66379,2377,62949,65326,4671,70996
01083,AL,Limestone,2.60,3.50,4.00,5.20,5.50,6.10,9.60,3.30,23.32,2.96,21.57,-1.42,1.222376563,0.030306857,8.223260513,18.25230458,13.9310519,4.384391969,1.224902134,2.851370122,42.90945826,6.970577093,39595,8.60,38990,35631,38990,3696,37427,3359,34625,38321,3745,34543,38288,4.70,6.90,35664,9.80,1763,2189,1154.00,43854,1507,41472,42979,1675,40016,41691,2133,38720,40853,39435,37833,36311,2414,37162,39576,6.30,2466,42700,36969,1217,35123,36340,2679,40022
01085,AL,Lowndes,5.70,7.20,8.20,10.50,11.50,12.80,18.50,7.50,-4.62,0.86,-23.11,-19.39,3.76048597,0.376048597,5.756436216,18.57101533,17.5585768,5.958923922,0.462829043,3.934046861,37.22881111,6.39282615,3457,17.70,4239,3489,4081,803,4851,750,3547,4350,951,3970,4921,10.90,15.40,4322,19.30,529,442,204.00,3587,260,3354,3614,301,3371,3672,401,3414,3815,4009,3392,3452,496,3376,3872,14.10,566,3383,3443,358,4400,4758,629,3834
01087,AL,Macon,4.30,5.30,5.80,7.60,8.00,9.10,14.80,5.40,-1.38,0.95,-10.40,-9.15,1.303333791,0.397859789,3.539580189,14.7894087,12.36109206,3.333790643,0.342982576,2.455755248,54.65770339,6.818493621,7289,14.00,8512,7317,8286,1319,9104,1195,7618,8937,1142,8203,9345,7.40,10.70,8426,12.20,678,642,337.00,7850,420,7442,7862,456,7460,7916,599,7301,7900,8414,7341,7397,751,7486,8237,9.60,811,7513,7603,480,8385,8865,889,7983
01089,AL,Madison,2.50,3.40,3.90,5.10,5.50,6.20,8.30,3.10,15.96,2.94,12.66,-2.85,0.581587316,0.055030672,4.348581657,11.47244701,12.45894422,3.132693433,2.235983108,3.601323053,53.03740348,9.076006048,172631,8.30,171726,157512,170209,14177,168340,14214,155656,169833,13577,155310,168887,4.20,6.90,161326,8.00,7014,9378,4714.00,185219,6213,175352,181565,6851,169711,176562,8887,165388,174275,171363,161839,158399,10497,159573,170070,6.30,10812,180505,160551,5068,160218,165286,11810,171217
01091,AL,Marengo,3.50,4.90,5.60,7.10,7.60,8.00,13.70,5.30,5.73,2.57,-3.82,-9.03,3.915892123,0.030473869,5.515770227,15.78546396,13.7132409,8.685052567,1.432271827,4.312052415,41.58159378,5.028188329,6563,12.60,7875,6884,7650,1115,7979,991,7021,8136,1151,6950,8101,7.40,10.20,7389,14.20,590,566,271.00,7694,371,7237,7608,433,7291,7724,548,7155,7703,7634,6853,6873,608,7015,7623,8.90,679,7423,6955,432,7718,8150,777,7419
01093,AL,Marion,3.40,4.00,4.80,6.60,6.90,7.90,13.60,5.20,9.31,3.07,1.54,-7.11,1.736227045,1.12687813,6.7278798,22.07846411,14.5409015,5.484140234,0,5.759599332,37.36227045,5.183639399,11980,11.20,12556,11149,12451,1792,12715,1407,11423,13215,2050,10311,12361,8.00,8.90,11701,16.60,1014,868,446.00,12932,507,12114,12621,603,11964,12567,827,11720,12547,12487,11638,11340,971,11317,12288,7.90,988,12486,11499,677,12297,12974,1111,12506
